,avg_acc_tag,name,data.datasets,data.exemplars.num_exemplars,data.exemplars.exemplar_selection,data.exemplars.num_exemplars_per_class,data.extra_aug,num_tasks,data.batch_size,data.nc_per_task,data.num_workers,data.stop_at_task,data.nc_first_task,data.ne_first_task,data.use_valid_only,data.use_test_as_val,data.max_classes_per_dataset,data.max_examples_per_class_trn,data.max_examples_per_class_tst,data.max_examples_per_class_val,misc.cm,misc.gpu,misc.log,seed,misc.tags,misc.exp_name,misc.save_models,misc.results_path,misc.last_layer_analysis,misc.cache_first_task_model,misc.no_cudnn_deterministic,network,model.pretrained,model.keep_existing_head,wandb.project_name,training.lr,training.vcreg.scale,training.vcreg.cov_weight,training.vcreg.reg_layers,training.vcreg.smooth_cov,training.vcreg.var_weight,training.vcreg.n_first_task,training.fix_bn,training.warmup.wu_lr,training.warmup.wu_wd,training.warmup.wu_fix_bn,training.warmup.wu_nepochs,training.warmup.wu_patience,training.warmup.wu_scheduler,training.nepochs,training.approach.name,training.approach.kwargs.all_outputs,training.clipping,training.optimizer.name,training.optimizer.kwargs.momentum,training.optimizer.kwargs.weight_decay,training.no_learning,training.eval_on_train,training.multi_softmax,training.early_stopping.lr_min,training.early_stopping.lr_factor,training.early_stopping.lr_patience,training.gridsearch_tasks,training.scheduler_milestones,training.select_best_model_by_val_loss,training.approach.kwargs.lamb,training.approach.kwargs.alpha,training.approach.kwargs.fi_num_samples,training.approach.kwargs.fi_sampling_type,training.approach.kwargs.T,training.approach.kwargs.mc,training.approach.kwargs.ta,training.approach.kwargs.tp,training.approach.kwargs.bnp,training.approach.kwargs.cka,training.approach.kwargs.ctt,training.approach.kwargs.cbnt,training.approach.kwargs.ta_lr,training.approach.kwargs.debug_loss,training.approach.kwargs.taskwise_kd,training.approach.kwargs.pretraining_epochs,dataset,approach,is_regularized,is_big_task,project_name,T,device,epochs,prefix,shuffle,init_cls,increment,batch_size,init_epochs,memory_size,num_workers,overfit_data,results_path,stop_at_task,save_checkpoint,vcreg.cov_weight,vcreg.reg_layers,vcreg.var_weight,optimizer.lr,optimizer.name,optimizer.init_lr,optimizer.weight_decay,optimizer.init_lr_decay,optimizer.init_weight_decay,scheduler.gamma,scheduler.step_size,optimizer.kwargs.momentum,temp,lambda_fkd,lambda_proto
0,14.8,good-frog-1,['imagenet_subset_kaggle'],0.0,random,0.0,,10,128.0,,16.0,0.0,,,False,True,,,,,False,0.0,"['disk', 'wandb']",0,,,True,results/2025/01.20/13-14-52/0,False,False,False,resnet34_skips,False,False,,0.1,False,12.0,.*after_relu,1.0,2.0,-1.0,False,0.1,0.001,True,0.0,,constant,100.0,finetuning,False,100.0,sgd,0.9,0.0002,False,True,False,0.0001,3.0,5.0,0.0,"[30, 60, 80]",False,,,,,,,,,,,,,,,,,imagenet100,finetuning,True,False,01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14.78,astral-firefly-3,['imagenet_subset_kaggle'],0.0,random,0.0,,10,128.0,,16.0,0.0,,,False,True,,,,,False,0.0,"['disk', 'wandb']",2,,,True,results/2025/01.20/13-14-52/4,False,False,False,resnet34_skips,False,False,,0.1,False,12.0,.*after_relu,1.0,2.0,-1.0,False,0.1,0.001,True,0.0,,constant,100.0,finetuning,False,100.0,sgd,0.9,0.0002,False,True,False,0.0001,3.0,5.0,0.0,"[30, 60, 80]",False,,,,,,,,,,,,,,,,,imagenet100,finetuning,True,False,01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9.84,effortless-water-2,['imagenet_subset_kaggle'],0.0,random,0.0,,20,128.0,,16.0,0.0,,,False,True,,,,,False,0.0,"['disk', 'wandb']",0,,,True,results/2025/01.20/13-14-52/1,False,False,False,resnet34_skips,False,False,,0.1,False,12.0,.*after_relu,1.0,2.0,-1.0,False,0.1,0.001,True,0.0,,constant,100.0,finetuning,False,100.0,sgd,0.9,0.0002,False,True,False,0.0001,3.0,5.0,0.0,"[30, 60, 80]",False,,,,,,,,,,,,,,,,,imagenet100,finetuning,True,False,01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15.2,fragrant-hill-4,['imagenet_subset_kaggle'],0.0,random,0.0,,10,128.0,,16.0,0.0,,,False,True,,,,,False,0.0,"['disk', 'wandb']",1,,,True,results/2025/01.20/13-14-52/2,False,False,False,resnet34_skips,False,False,,0.1,False,12.0,.*after_relu,1.0,2.0,-1.0,False,0.1,0.001,True,0.0,,constant,100.0,finetuning,False,100.0,sgd,0.9,0.0002,False,True,False,0.0001,3.0,5.0,0.0,"[30, 60, 80]",False,,,,,,,,,,,,,,,,,imagenet100,finetuning,True,False,01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9.06,jumping-frog-5,['imagenet_subset_kaggle'],0.0,random,0.0,,20,128.0,,16.0,0.0,,,False,True,,,,,False,0.0,"['disk', 'wandb']",1,,,True,results/2025/01.20/13-14-52/3,False,False,False,resnet34_skips,False,False,,0.1,False,12.0,.*after_relu,1.0,2.0,-1.0,False,0.1,0.001,True,0.0,,constant,100.0,finetuning,False,100.0,sgd,0.9,0.0002,False,True,False,0.0001,3.0,5.0,0.0,"[30, 60, 80]",False,,,,,,,,,,,,,,,,,imagenet100,finetuning,True,False,01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8.72,trim-blaze-6,['imagenet_subset_kaggle'],0.0,random,0.0,,20,128.0,,16.0,0.0,,,False,True,,,,,False,0.0,"['disk', 'wandb']",2,,,True,results/2025/01.20/13-14-52/5,False,False,False,resnet34_skips,False,False,,0.1,False,12.0,.*after_relu,1.0,2.0,-1.0,False,0.1,0.001,True,0.0,,constant,100.0,finetuning,False,100.0,sgd,0.9,0.0002,False,True,False,0.0001,3.0,5.0,0.0,"[30, 60, 80]",False,,,,,,,,,,,,,,,,,imagenet100,finetuning,True,False,01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,21.800000000000004,fast-fire-13,['imagenet_subset_kaggle'],0.0,random,0.0,,10,128.0,,16.0,0.0,,,False,True,,,,,False,0.0,"['disk', 'wandb']",0,,,True,results/2025/01.20/13-14-52/12,False,False,False,resnet34_skips,False,False,,0.1,False,12.0,.*after_relu,1.0,2.0,-1.0,False,0.1,0.001,True,0.0,,constant,100.0,ewc,,100.0,sgd,0.9,0.0002,False,True,False,0.0001,3.0,5.0,0.0,"[30, 60, 80]",False,5000.0,0.5,-1.0,max_pred,,,,,,,,,,,,,imagenet100,ewc,True,False,01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11.84,sparkling-sun-14,['imagenet_subset_kaggle'],0.0,random,0.0,,20,128.0,,16.0,0.0,,,False,True,,,,,False,0.0,"['disk', 'wandb']",0,,,True,results/2025/01.20/13-14-52/13,False,False,False,resnet34_skips,False,False,,0.1,False,12.0,.*after_relu,1.0,2.0,-1.0,False,0.1,0.001,True,0.0,,constant,100.0,ewc,,100.0,sgd,0.9,0.0002,False,True,False,0.0001,3.0,5.0,0.0,"[30, 60, 80]",False,5000.0,0.5,-1.0,max_pred,,,,,,,,,,,,,imagenet100,ewc,True,False,01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20.48,peachy-voice-15,['imagenet_subset_kaggle'],0.0,random,0.0,,10,128.0,,16.0,0.0,,,False,True,,,,,False,0.0,"['disk', 'wandb']",1,,,True,results/2025/01.20/13-14-52/14,False,False,False,resnet34_skips,False,False,,0.1,False,12.0,.*after_relu,1.0,2.0,-1.0,False,0.1,0.001,True,0.0,,constant,100.0,ewc,,100.0,sgd,0.9,0.0002,False,True,False,0.0001,3.0,5.0,0.0,"[30, 60, 80]",False,5000.0,0.5,-1.0,max_pred,,,,,,,,,,,,,imagenet100,ewc,True,False,01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11.76,cool-wildflower-16,['imagenet_subset_kaggle'],0.0,random,0.0,,20,128.0,,16.0,0.0,,,False,True,,,,,False,0.0,"['disk', 'wandb']",1,,,True,results/2025/01.20/13-14-52/15,False,False,False,resnet34_skips,False,False,,0.1,False,12.0,.*after_relu,1.0,2.0,-1.0,False,0.1,0.001,True,0.0,,constant,100.0,ewc,,100.0,sgd,0.9,0.0002,False,True,False,0.0001,3.0,5.0,0.0,"[30, 60, 80]",False,5000.0,0.5,-1.0,max_pred,,,,,,,,,,,,,imagenet100,ewc,True,False,01.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
