num_tasks,approach,reg_layers,avg_acc_tag,dataset,seed
5,finetuning,False,20.69,cifar100_fixed,1
5,finetuning,True,26.589999999999996,cifar100_fixed,1
5,replay,False,41.28,cifar100_fixed,1
5,replay,True,43.46,cifar100_fixed,1
5,ewc,False,22.44,cifar100_fixed,1
5,ewc,True,33.87,cifar100_fixed,1
5,lwf,False,39.4,cifar100_fixed,1
5,lwf,True,50.99,cifar100_fixed,1
10,finetuning,False,11.45,cifar100_fixed,1
10,finetuning,True,13.679999999999998,cifar100_fixed,1
10,replay,False,32.190000000000005,cifar100_fixed,1
10,replay,True,37.03999999999999,cifar100_fixed,1
10,ewc,False,12.1,cifar100_fixed,1
10,ewc,True,17.5,cifar100_fixed,1
10,lwf,False,24.14,cifar100_fixed,1
10,lwf,True,37.25,cifar100_fixed,1
20,finetuning,False,4.199999999999999,cifar100_fixed,1
20,finetuning,True,8.39,cifar100_fixed,1
20,replay,False,29.65,cifar100_fixed,1
20,replay,True,32.190000000000005,cifar100_fixed,1
20,ewc,False,1.5699999999999998,cifar100_fixed,1
20,ewc,True,12.659999999999998,cifar100_fixed,1
20,lwf,False,,cifar100_fixed,1
20,lwf,True,21.24,cifar100_fixed,1
