num_tasks,approach,reg_layers,avg_acc_tag,dataset,seed
5,finetuning,False,27.190000000000005,cifar100_fixed,2
5,finetuning,True,31.5,cifar100_fixed,2
5,replay,False,34.18,cifar100_fixed,2
5,replay,True,38.62,cifar100_fixed,2
5,ewc,False,29.609999999999996,cifar100_fixed,2
5,ewc,True,34.19,cifar100_fixed,2
5,lwf,False,40.83,cifar100_fixed,2
5,lwf,True,48.89,cifar100_fixed,2
10,finetuning,False,14.79,cifar100_fixed,2
10,finetuning,True,20.590000000000003,cifar100_fixed,2
10,replay,False,28.769999999999996,cifar100_fixed,2
10,replay,True,33.04,cifar100_fixed,2
10,ewc,False,17.69,cifar100_fixed,2
10,ewc,True,24.6,cifar100_fixed,2
10,lwf,False,29.54,cifar100_fixed,2
10,lwf,True,39.05,cifar100_fixed,2
20,finetuning,False,8.580000000000002,cifar100_fixed,2
20,finetuning,True,13.16,cifar100_fixed,2
20,replay,False,25.78,cifar100_fixed,2
20,replay,True,30.110000000000003,cifar100_fixed,2
20,ewc,False,8.120000000000001,cifar100_fixed,2
20,ewc,True,15.1,cifar100_fixed,2
20,lwf,False,21.78,cifar100_fixed,2
20,lwf,True,30.48,cifar100_fixed,2
